"Date","Price","Open","High","Low","Vol.","Change %"
"03/04/2024","2.320","2.020","2.320","1.980","7.92M","15.42%"
"02/04/2024","2.010","2.340","2.360","1.970","11.98M","-23.57%"
"01/04/2024","2.630","2.930","2.950","2.610","7.89M","-9.31%"
"28/03/2024","2.900","2.920","3.100","2.870","3.99M","1.40%"
"27/03/2024","2.860","2.830","2.900","2.770","2.31M","1.78%"
"26/03/2024","2.810","2.880","2.890","2.810","1.99M","-1.06%"
"25/03/2024","2.840","2.750","2.865","2.740","2.53M","2.90%"
"22/03/2024","2.760","2.850","2.860","2.710","3.29M","-0.72%"
"21/03/2024","2.780","2.925","2.970","2.764","4.36M","-5.76%"
"20/03/2024","2.950","2.910","2.980","2.850","3.28M","3.15%"
"19/03/2024","2.860","2.980","2.980","2.830","3.01M","-3.70%"
"18/03/2024","2.970","3.210","3.210","2.960","4.60M","-5.41%"
"15/03/2024","3.140","3.030","3.220","3.000","10.45M","3.29%"
"14/03/2024","3.040","3.150","3.160","3.000","3.45M","-1.94%"
"13/03/2024","3.100","3.010","3.390","2.955","5.92M","4.03%"
"12/03/2024","2.980","3.050","3.090","2.920","3.37M","-2.30%"
"11/03/2024","3.050","3.020","3.115","3.015","2.93M","1.33%"
"08/03/2024","3.010","3.050","3.190","3.000","3.61M","2.03%"
"07/03/2024","2.950","3.100","3.180","2.930","3.22M","-4.84%"
"06/03/2024","3.100","3.150","3.190","3.065","2.52M","2.99%"
"05/03/2024","3.010","3.120","3.120","3.000","2.40M","-3.53%"
"04/03/2024","3.120","3.250","3.250","3.090","2.41M","-2.80%"
"01/03/2024","3.210","3.200","3.325","3.110","2.06M","1.26%"
"29/02/2024","3.170","3.240","3.298","3.170","1.89M","-0.63%"
"28/02/2024","3.190","3.300","3.310","3.150","2.92M","-5.62%"
"27/02/2024","3.380","3.240","3.400","3.240","2.85M","5.63%"
"26/02/2024","3.200","3.010","3.220","2.935","2.56M","8.47%"
"23/02/2024","2.950","3.120","3.130","2.940","3.85M","-4.53%"
"22/02/2024","3.090","3.250","3.270","3.065","3.23M","-2.22%"
"21/02/2024","3.160","3.300","3.300","3.120","2.74M","-4.82%"
"20/02/2024","3.320","3.450","3.510","3.290","3.12M","-3.21%"
"16/02/2024","3.430","3.500","3.520","3.401","3.00M","0.59%"
"15/02/2024","3.410","3.350","3.490","3.270","2.86M","2.71%"
"14/02/2024","3.320","3.270","3.360","3.160","2.13M","4.73%"
"13/02/2024","3.170","3.360","3.420","3.160","3.09M","-9.94%"
"12/02/2024","3.520","3.570","3.700","3.460","5.04M","2.62%"
"09/02/2024","3.430","3.250","3.460","3.180","5.51M","7.86%"
"08/02/2024","3.180","2.830","3.180","2.770","8.30M","22.07%"
"07/02/2024","2.605","2.860","2.860","2.590","4.43M","-9.55%"
"06/02/2024","2.880","2.780","2.916","2.740","1.87M","3.97%"
"05/02/2024","2.770","2.900","2.900","2.720","2.45M","-2.46%"
"02/02/2024","2.840","2.890","2.890","2.785","2.58M","-2.07%"
"01/02/2024","2.900","2.940","2.950","2.780","3.14M","1.05%"
"31/01/2024","2.870","2.950","3.080","2.865","3.45M","-1.71%"
"30/01/2024","2.920","3.090","3.170","2.900","3.77M","-4.89%"
"29/01/2024","3.070","2.850","3.080","2.760","5.43M","10.04%"
"26/01/2024","2.790","2.990","3.040","2.770","6.34M","-5.42%"
"25/01/2024","2.950","3.080","3.100","2.935","4.30M","-4.22%"
"24/01/2024","3.080","3.210","3.270","3.050","5.93M","-1.28%"
"23/01/2024","3.120","3.130","3.210","2.970","13.23M","0.65%"
"22/01/2024","3.100","3.280","3.350","3.060","10.33M","0.32%"
"19/01/2024","3.090","3.370","3.470","3.050","44.53M","-25.72%"
"18/01/2024","4.160","4.350","4.460","3.940","10.21M","-2.80%"
"17/01/2024","4.280","4.060","4.410","4.020","2.67M","3.63%"
"16/01/2024","4.130","4.170","4.195","4.020","1.61M","-0.84%"
"12/01/2024","4.165","4.340","4.520","4.130","2.34M","-2.46%"
"11/01/2024","4.270","4.880","4.880","4.200","4.23M","-13.74%"
"10/01/2024","4.950","4.900","5.010","4.805","1.74M","1.23%"
"09/01/2024","4.890","4.910","5.020","4.809","1.02M","-1.01%"
"08/01/2024","4.940","5.020","5.020","4.780","1.49M","-1.40%"
"05/01/2024","5.010","4.810","5.110","4.720","1.50M","3.94%"
"04/01/2024","4.820","4.930","5.039","4.820","1.90M","-2.23%"
"03/01/2024","4.930","5.030","5.130","4.860","2.93M","1.65%"
"02/01/2024","4.850","5.860","5.863","4.600","6.29M","-19.57%"
"29/12/2023","6.030","6.140","6.140","5.745","2.50M","-2.43%"
"28/12/2023","6.180","6.320","6.360","6.030","1.59M","-2.83%"
"27/12/2023","6.360","6.190","6.710","6.190","3.08M","2.75%"
"26/12/2023","6.190","6.100","6.300","5.967","1.81M","1.98%"
"22/12/2023","6.070","5.790","6.095","5.680","2.60M","4.48%"
"21/12/2023","5.810","5.290","5.840","5.270","2.57M","12.38%"
"20/12/2023","5.170","5.530","5.530","5.155","2.24M","-7.01%"
"19/12/2023","5.560","5.370","5.570","5.324","1.38M","4.51%"
"18/12/2023","5.320","5.390","5.400","5.120","1.69M","-2.21%"
"15/12/2023","5.440","5.580","5.620","5.350","2.06M","-0.91%"
"14/12/2023","5.490","5.350","5.540","5.300","1.49M","4.77%"
"13/12/2023","5.240","5.140","5.265","5.010","1.72M","1.95%"
"12/12/2023","5.140","5.220","5.240","5.015","1.26M","-1.91%"
"11/12/2023","5.240","5.500","5.500","5.145","1.61M","-4.38%"
"08/12/2023","5.480","5.110","5.550","5.081","2.00M","7.24%"
"07/12/2023","5.110","5.120","5.130","4.980","1.01M","0.20%"
"06/12/2023","5.100","4.880","5.220","4.830","1.39M","5.59%"
"05/12/2023","4.830","4.950","4.990","4.709","1.40M","-2.42%"
"04/12/2023","4.950","5.190","5.470","4.930","3.55M","-4.44%"
"01/12/2023","5.180","4.880","5.195","4.760","1.74M","6.80%"
"30/11/2023","4.850","5.080","5.148","4.800","1.51M","-3.39%"
"29/11/2023","5.020","4.660","5.030","4.650","2.23M","9.61%"
"28/11/2023","4.580","4.730","4.770","4.500","1.48M","-3.78%"
"27/11/2023","4.760","4.725","4.790","4.520","1.60M","-1.65%"
"24/11/2023","4.840","4.330","4.900","4.180","2.30M","11.26%"
"22/11/2023","4.350","4.380","4.475","4.220","2.11M","0.93%"
"21/11/2023","4.310","4.770","4.770","4.250","2.37M","-9.83%"
"20/11/2023","4.780","4.850","4.890","4.710","1.38M","-1.04%"
