"Date","Price","Open","High","Low","Vol.","Change %"
"28/08/2024","194.57","193.45","195.47","193.09","698.85K","-0.07%"
"27/08/2024","194.71","197.15","197.90","193.88","876.67K","-1.30%"
"26/08/2024","197.28","197.65","199.26","194.43","1.13M","1.06%"
"23/08/2024","195.22","193.08","195.91","192.93","755.48K","1.82%"
"22/08/2024","191.73","191.50","193.44","190.79","893.46K","0.32%"
"21/08/2024","191.12","191.94","192.98","189.86","1.11M","0.72%"
"20/08/2024","189.75","195.69","195.69","189.56","1.11M","-3.11%"
"19/08/2024","195.84","195.68","198.51","195.25","1.19M","0.52%"
"16/08/2024","194.82","193.89","196.20","193.49","1.16M","-0.90%"
"15/08/2024","196.58","194.79","197.82","194.48","1.22M","0.07%"
"14/08/2024","196.45","196.15","196.93","195.16","1.07M","0.16%"
"13/08/2024","196.14","198.77","199.24","195.57","1.78M","-2.56%"
"12/08/2024","201.29","200.69","202.87","199.57","1.11M","0.76%"
"09/08/2024","199.77","197.09","201.71","195.56","1.29M","1.15%"
"08/08/2024","197.49","191.00","199.16","191.00","1.32M","3.19%"
"07/08/2024","191.38","193.61","196.66","191.11","1.46M","0.89%"
"06/08/2024","189.70","192.38","194.84","187.00","1.95M","2.44%"
"05/08/2024","185.18","184.13","186.88","179.61","2.42M","-2.05%"
"02/08/2024","189.06","195.00","195.57","185.98","2.00M","-4.62%"
"01/08/2024","198.22","201.34","203.76","195.86","1.52M","-2.02%"
"31/07/2024","202.31","203.02","203.98","198.98","1.25M","2.14%"
"30/07/2024","198.08","198.50","200.44","197.30","1.53M","-0.10%"
"29/07/2024","198.27","201.60","202.28","196.49","853.16K","-1.24%"
"26/07/2024","200.76","199.52","201.32","197.73","775.69K","0.48%"
"25/07/2024","199.80","198.40","202.19","197.52","1.07M","0.49%"
"24/07/2024","198.83","199.83","201.93","198.31","1.18M","0.24%"
"23/07/2024","198.36","204.34","204.50","198.29","1.39M","-3.09%"
"22/07/2024","204.68","205.37","205.74","202.08","930.46K","-0.38%"
"19/07/2024","205.47","208.99","209.57","205.34","1.35M","-2.17%"
"18/07/2024","210.03","211.07","212.27","206.64","893.86K","-0.43%"
"17/07/2024","210.94","210.58","214.50","209.35","1.49M","0.90%"
"16/07/2024","209.06","209.85","210.61","208.18","1.08M","-0.89%"
"15/07/2024","210.93","205.00","212.10","204.36","1.41M","3.31%"
"12/07/2024","204.17","207.37","208.65","203.43","1.13M","-1.45%"
"11/07/2024","207.17","202.51","208.30","201.57","1.25M","2.36%"
"10/07/2024","202.39","202.07","202.65","200.75","970.92K","-0.10%"
"09/07/2024","202.60","200.95","204.62","199.62","993.68K","-0.37%"
"08/07/2024","203.35","202.37","203.55","201.04","774.94K","-0.09%"
"05/07/2024","203.53","206.45","207.48","202.31","761.40K","-1.64%"
"03/07/2024","206.93","206.08","208.77","204.33","741.14K","0.99%"
"02/07/2024","204.90","205.49","208.62","203.80","1.76M","0.58%"
"01/07/2024","203.71","201.82","204.39","199.78","1.23M","1.76%"
"28/06/2024","200.19","200.54","202.87","199.07","2.11M","0.50%"
"27/06/2024","199.19","198.25","199.39","196.65","1.04M","1.13%"
"26/06/2024","196.96","198.16","198.16","195.01","1.26M","-0.46%"
"25/06/2024","197.88","197.89","198.63","196.33","1.45M","-0.08%"
"24/06/2024","198.03","192.12","199.15","191.85","1.81M","3.75%"
"21/06/2024","190.88","193.57","193.70","190.33","3.34M","-0.96%"
"20/06/2024","192.73","189.51","193.60","189.51","1.96M","2.04%"
"18/06/2024","188.87","188.79","189.86","188.21","1.12M","0.70%"
"17/06/2024","187.56","186.56","188.13","185.10","1.24M","0.85%"
"14/06/2024","185.97","189.90","189.99","185.69","978.30K","-2.30%"
"13/06/2024","190.35","192.50","192.87","188.27","1.27M","-1.70%"
"12/06/2024","193.65","195.26","196.00","192.35","1.06M","-0.01%"
"11/06/2024","193.67","192.61","193.73","191.24","716.27K","-0.15%"
"10/06/2024","193.97","190.76","194.99","190.62","961.24K","1.93%"
"07/06/2024","190.30","191.04","191.60","189.78","1.03M","-0.39%"
"06/06/2024","191.04","188.88","191.55","188.80","1.18M","0.98%"
"05/06/2024","189.19","189.22","190.01","188.49","825.72K","-0.02%"
"04/06/2024","189.22","188.73","189.29","185.10","1.74M","-0.78%"
"03/06/2024","190.71","198.45","198.82","186.48","2.78M","-4.29%"
"31/05/2024","199.26","197.53","199.46","196.96","2.93M","0.97%"
"30/05/2024","197.34","194.54","197.89","194.54","1.29M","1.19%"
"29/05/2024","195.02","197.57","197.79","193.26","1.53M","-1.39%"
"28/05/2024","197.76","195.24","198.16","195.20","1.30M","2.22%"
"24/05/2024","193.46","193.76","194.88","193.17","688.49K","0.78%"
